,Emp_ID,Age,Gender,City,Education_Level,Salary,Designation,Total Business Value,Quarterly Rating,Target
107,129,38,0,25,0,60708,2,0,1,0
108,130,38,1,20,0,39990,2,0,1,1
109,131,38,0,10,0,79086,3,0,1,1
110,132,27,1,12,2,43165,2,0,1,1
111,133,44,0,15,2,46858,1,0,1,1
112,134,32,1,19,1,76904,3,190550,1,0
113,135,28,1,14,1,98877,3,950720,2,0
114,136,37,0,1,1,47009,1,0,1,1
115,137,42,1,20,1,33459,2,370410,4,0
116,138,48,1,13,2,34827,1,0,1,1
117,139,32,1,5,0,51850,2,0,1,1
118,140,38,1,28,0,72253,2,555880,3,0
119,141,35,1,14,0,65901,2,0,1,1
120,142,24,1,7,0,29807,1,0,1,1
121,143,40,1,3,2,24150,1,97020,1,1
122,144,27,1,20,2,21933,1,0,1,1
123,145,35,1,4,0,75112,3,0,3,1
124,147,36,1,28,0,85172,2,0,1,1
125,148,41,1,6,1,45288,2,0,1,0
126,149,34,0,12,1,61913,3,0,1,1
127,150,39,1,8,1,29013,3,1198920,3,0
128,151,30,1,6,1,89602,4,0,1,1
129,152,31,1,8,1,31547,2,0,2,1
130,153,38,0,14,0,148588,5,0,1,1
131,154,30,1,13,0,47211,1,0,1,1
132,155,27,1,18,0,118363,3,1168380,2,1
133,156,41,0,28,0,41046,1,0,1,1
134,158,26,1,14,0,45832,1,0,1,1
135,159,44,0,23,0,30121,1,150460,1,1
136,161,38,1,17,2,35793,1,0,1,1
137,162,36,1,11,0,100064,3,0,1,1
138,163,29,1,25,1,25731,1,0,1,1
139,164,37,0,18,1,106171,4,0,1,1
140,165,25,0,13,2,76307,2,0,1,1
141,167,26,1,9,0,35283,1,0,1,1
142,168,26,1,6,2,33057,2,597400,3,0
143,169,34,1,5,2,38409,2,-582010,1,1
144,170,35,1,26,2,91458,3,0,1,1
145,171,44,0,15,0,56242,2,0,1,1
146,172,41,0,25,2,101395,3,0,1,1
147,173,39,1,20,1,56174,3,706010,3,0
148,174,39,0,13,0,22065,1,0,1,1
149,175,31,1,4,1,27889,1,0,1,1
150,176,34,1,6,1,21276,1,0,1,1
151,177,31,1,23,0,43053,1,0,1,1
152,178,23,0,26,1,36637,2,-109200,1,1
153,179,26,0,2,2,24490,1,0,1,1
154,180,34,1,21,0,95694,4,0,1,1
155,181,30,0,8,2,26926,3,0,1,0
156,182,32,1,14,2,25832,1,0,1,1
157,183,26,0,15,2,43263,1,0,1,1
158,184,34,0,13,2,62199,2,0,1,1
159,185,29,1,0,1,82120,3,0,1,1
160,187,34,1,18,0,20922,2,0,1,1
161,188,34,1,3,1,36483,2,263920,1,0
162,190,36,0,0,1,108051,4,0,1,1
163,191,27,0,2,2,63380,3,803360,3,0
164,192,37,0,28,0,66952,3,0,1,0
165,193,47,1,18,2,59084,2,150380,1,1
166,194,30,1,27,1,54074,2,0,1,1
167,195,27,1,9,1,19419,1,0,1,1
168,196,44,1,5,0,75001,3,0,2,1
169,197,41,1,17,0,94594,3,204450,1,1
170,199,30,1,5,1,87902,3,1314790,4,0
171,200,46,1,27,0,66707,3,0,1,1
172,201,38,0,24,1,42260,3,0,1,1
173,202,33,1,20,1,28921,1,593300,2,0
174,203,34,0,23,2,84713,3,0,1,1
175,204,31,0,5,1,68151,2,0,1,1
176,205,39,1,3,1,15826,1,0,1,0
177,206,26,0,1,1,12968,1,0,1,0
178,207,32,1,21,1,61894,3,0,1,1
179,208,31,1,7,2,31657,1,0,1,1
180,210,38,1,21,2,64583,3,0,1,0
181,211,34,0,25,2,81730,3,0,1,1
182,213,37,1,16,1,59947,2,151230,1,0
183,215,26,0,6,0,17307,1,0,1,1
184,216,30,1,12,0,86340,2,0,1,1
185,217,32,1,1,0,27328,2,0,1,1
186,218,25,1,13,1,27979,1,151760,2,0
187,219,36,1,24,1,51657,2,0,1,1
188,220,38,0,9,0,107539,3,0,1,1
189,221,31,1,22,1,13051,1,0,1,1
190,222,26,1,11,1,92753,3,0,1,1
191,223,25,1,12,1,59108,2,0,1,1
192,225,32,0,5,1,44792,3,337020,3,0
193,226,36,0,9,0,55528,2,0,1,1
194,227,45,0,21,2,61912,3,0,1,1
195,228,45,1,25,2,53385,1,0,1,1
196,229,43,1,20,1,104995,4,972700,2,1
197,230,34,1,17,1,44359,2,0,1,1
198,231,32,1,24,0,21354,1,0,1,1
199,232,34,1,6,2,23185,1,0,1,1
200,233,36,0,19,0,139139,3,0,1,0
201,234,27,0,15,0,52616,2,300000,2,0
202,235,39,0,7,1,37873,1,0,1,1
203,237,33,1,1,1,75626,3,181070,1,0
204,238,32,1,12,1,40168,2,0,1,1
205,241,24,1,0,1,33901,1,0,1,1
206,242,28,1,13,1,11236,1,0,1,1
207,243,26,1,23,2,60228,3,232600,1,0
208,244,40,1,12,2,37346,2,0,1,1
209,245,38,1,15,2,77903,2,0,1,1
210,246,42,1,1,0,64128,2,0,1,1
211,247,39,0,23,1,27294,2,0,1,1
212,252,37,1,16,2,81700,3,879970,4,0
213,256,21,1,1,1,25172,1,0,1,1
214,257,30,1,21,0,31655,3,150230,1,1
215,258,29,1,4,1,25459,1,451500,2,0
216,260,29,1,16,0,47864,1,0,1,1
217,261,42,0,12,2,90988,3,0,1,1
218,262,28,0,11,0,24862,2,0,1,1
219,263,24,1,25,1,19170,1,289500,1,0
220,264,25,1,2,2,49439,1,0,1,1
221,265,34,1,22,0,40381,1,183480,2,0
222,266,43,1,7,0,40102,2,0,1,1
223,267,36,1,24,1,89200,3,343200,2,1
224,268,31,0,25,0,54352,1,0,1,1
225,270,36,1,2,0,76336,3,0,1,1
226,271,38,1,21,2,134529,4,0,3,0
227,272,37,1,24,0,64901,2,536600,3,0
228,273,29,1,7,0,40259,1,189120,1,0
229,274,39,1,26,0,53224,2,0,1,0
230,275,41,1,12,1,97226,4,2268510,3,0
231,276,30,0,15,0,107495,3,0,2,0
232,278,34,1,11,1,52191,1,0,1,1
233,279,29,0,11,1,41800,1,0,1,1
234,280,34,0,25,2,108013,4,0,1,1
235,281,43,0,12,0,78607,3,246810,1,0
236,282,29,0,13,1,57339,2,0,1,1
237,283,27,0,21,2,57420,2,0,1,0
238,284,34,1,12,2,42189,2,0,1,1
239,286,30,0,16,0,70781,2,0,1,1
240,287,30,0,26,1,13605,1,0,1,1
241,288,41,0,8,1,62901,2,0,1,0
242,289,29,1,22,1,51110,2,0,1,0
243,290,25,0,24,0,66842,1,0,1,1
244,291,27,0,12,2,49695,2,0,1,1
245,292,33,0,21,2,81858,3,0,1,1
246,293,28,0,2,0,45981,1,0,1,1
247,294,36,1,13,1,13793,1,153360,1,0
248,295,29,0,27,1,35983,2,0,1,1
249,296,32,0,12,0,65094,2,2694320,4,0
250,297,38,1,27,2,109473,3,0,1,0
251,298,39,1,12,1,70753,3,0,1,1
252,299,36,0,20,1,25851,1,0,1,1
253,303,42,1,20,0,78645,2,0,1,1
254,305,24,1,28,1,20176,1,0,1,1
255,306,31,0,23,1,53025,2,0,1,0
256,307,39,1,18,1,88207,4,500050,1,1
257,308,32,1,24,2,188418,5,3772910,2,0
258,309,30,0,24,0,77597,3,0,1,0
259,310,27,0,22,2,58439,1,0,1,0
260,312,34,1,7,1,26047,2,0,1,1
261,313,31,0,6,1,96603,3,0,1,1
262,315,29,0,28,2,50281,3,0,1,1
263,316,47,1,3,2,42592,1,0,1,1
264,317,35,1,24,0,59936,2,246840,1,1
265,318,33,0,22,0,37890,1,0,1,1
266,319,30,1,19,2,51819,3,0,1,1
267,320,28,0,12,1,63126,2,1237400,4,0
268,321,27,0,17,0,29869,1,0,1,1
269,322,41,0,25,1,57245,2,0,1,1
270,323,30,0,21,2,64558,2,496200,2,0
271,324,31,1,18,0,69160,3,0,3,0
272,325,26,1,6,2,50739,1,0,1,1
273,326,24,1,20,2,69454,2,0,1,1
274,327,38,1,22,0,26658,1,0,1,1
275,328,35,0,20,0,54816,3,0,1,1
276,329,44,0,2,0,133752,3,1016090,2,0
277,330,39,0,6,0,35694,1,0,1,1
278,331,35,1,17,2,71154,3,0,1,0
279,332,29,1,16,2,51152,1,0,1,1
280,333,44,0,25,0,45796,1,0,1,1
281,334,29,0,28,1,58812,2,0,1,1
282,335,41,0,2,2,94685,3,0,1,0
283,336,47,1,1,2,140769,4,0,1,1
284,337,45,0,27,2,62135,2,0,1,1
285,339,32,1,8,0,55937,3,0,1,1
286,340,36,1,7,1,33327,1,0,1,1
287,341,40,1,2,0,49592,2,804560,2,0
288,342,45,1,9,2,83084,3,411900,1,1
289,343,24,1,23,0,26563,1,0,1,1
290,344,28,1,11,0,55938,3,0,1,1
291,345,35,0,19,0,35284,2,300290,2,0
292,346,31,0,11,0,92158,3,0,1,1
293,347,36,0,6,1,57044,3,0,1,1
294,348,28,0,4,0,71326,2,0,1,0
295,349,33,1,18,2,56317,2,0,1,1
296,350,33,1,1,2,55441,2,0,1,1
297,351,31,1,28,0,50609,2,2913910,4,0
298,352,44,1,16,1,39564,1,0,1,1
299,353,31,0,9,2,33134,1,149760,1,1
300,354,31,0,2,1,60555,1,0,1,1
301,355,34,1,14,2,135879,3,0,1,1
302,357,35,1,11,1,127616,4,1538020,2,0
303,358,40,0,18,2,117830,3,300000,1,0
304,359,37,1,23,2,107473,4,999990,2,0
305,360,39,0,12,0,58347,2,0,1,1
306,361,33,1,13,1,13743,1,0,1,1
307,362,38,0,12,2,51609,2,896200,2,0
308,363,30,1,13,2,67650,2,0,1,1
309,364,27,1,4,2,35727,1,0,1,1
310,365,24,0,14,1,44740,2,0,1,1
311,366,29,1,6,2,44630,2,0,1,0
312,368,45,1,15,0,51911,2,549400,4,0
313,369,32,1,12,1,28186,1,0,1,1
314,371,48,0,12,0,49113,1,1158050,4,0
315,372,33,0,18,1,82259,2,196560,1,1
316,373,30,0,15,2,38569,1,0,1,1
317,375,36,1,19,1,109992,3,0,2,0
318,376,38,1,24,2,88715,2,847890,3,0
319,377,35,1,24,1,121332,3,574360,2,0
320,378,33,1,28,2,35057,3,0,1,0
321,379,31,1,4,2,29106,1,0,1,1
322,382,28,1,9,1,12938,1,0,1,0
323,383,41,0,8,1,43969,1,0,1,0
324,384,26,0,19,0,52364,2,207420,1,1
325,385,35,0,20,2,77156,3,649800,2,0
326,386,45,0,9,0,137082,4,122770,2,1
327,387,29,0,14,2,45245,1,0,1,1
328,388,34,1,6,0,43611,2,0,1,0
329,389,30,0,6,2,45923,2,-200000,1,1
330,390,32,0,14,2,70428,1,0,1,1
331,391,37,1,14,0,133783,3,800710,3,0
332,392,35,0,12,0,84850,3,0,1,1
333,394,34,0,12,2,97722,4,2701750,3,0
334,397,28,1,3,2,73194,2,0,1,1
335,398,30,1,24,2,63280,2,0,1,0
336,399,31,1,24,2,40604,1,0,1,1
337,400,35,1,10,1,65729,2,602500,2,0
338,401,38,0,15,1,76069,2,0,1,1
339,402,46,1,16,2,91279,3,1949460,3,0
340,403,29,1,6,2,24049,2,0,1,0
341,404,36,1,0,1,41553,2,242950,2,1
342,405,34,1,5,2,25028,1,0,1,1
343,406,43,1,3,2,38625,1,0,1,1
344,407,41,0,4,0,58207,2,682130,3,0
345,409,29,1,0,1,33320,2,0,1,0
346,410,39,1,16,0,57225,2,0,1,1
347,411,28,0,0,0,52572,1,0,1,1
348,412,29,1,7,2,56243,2,0,1,0
349,414,33,0,17,1,97153,3,0,2,1
350,415,36,0,4,1,61575,2,943310,3,0
351,416,35,0,19,1,92559,3,-990000,1,1
352,417,28,0,15,0,42027,2,0,1,0
353,418,31,1,6,0,74051,2,100160,1,1
354,419,26,1,4,2,38390,1,0,1,1
355,420,39,1,9,2,80489,3,607260,1,0
356,421,41,1,23,2,93113,2,107520,1,1
357,422,27,1,19,0,78754,3,0,1,0
358,423,36,1,12,1,43083,1,0,1,1
359,424,40,1,8,1,74684,2,0,1,1
360,425,47,1,14,0,30921,3,1333760,3,0
361,426,34,1,16,2,65053,2,0,1,1
362,427,33,1,1,0,88180,3,1465000,2,0
363,429,37,1,27,1,120771,4,0,1,1
364,430,32,1,20,1,14489,1,0,1,1
365,431,39,0,9,1,50457,3,364800,3,0
366,432,36,1,5,1,17047,1,0,1,1
367,433,37,1,4,2,78656,3,155640,1,1
368,434,30,0,25,2,88515,3,2792020,4,0
369,435,29,1,14,1,63479,1,0,1,1
370,436,28,1,16,2,128590,4,243400,1,1
371,438,43,0,28,2,81206,2,139720,1,1
372,439,27,1,22,0,60246,1,0,2,1
373,440,40,1,7,0,113125,4,1541390,1,0
374,441,32,1,25,2,81288,3,200210,3,0
375,442,32,1,15,2,73933,3,0,1,1
376,443,31,0,22,0,55108,2,0,1,1
377,444,32,1,6,0,36856,1,253060,2,0
378,445,32,1,27,1,33956,2,0,1,1
379,446,31,0,14,1,50832,3,1013000,3,0
380,448,37,1,1,0,65389,4,5058470,3,0
381,449,25,1,2,1,32466,1,0,1,0
382,450,30,1,12,2,70415,3,1795400,4,0
383,451,41,0,7,2,123390,5,0,1,1
384,452,46,1,10,1,104473,4,0,1,1
385,453,37,1,3,2,123361,4,2392050,2,0
386,454,30,0,8,2,45357,1,0,1,1
387,456,35,0,18,0,45193,2,0,1,1
388,457,23,0,24,0,54992,2,700000,2,0
389,458,31,0,10,1,16749,3,400280,1,0
390,459,29,1,3,2,67194,3,442730,1,0
391,460,29,0,6,1,37575,2,0,2,1
392,461,32,0,27,1,53577,2,196940,2,1
393,462,35,1,7,2,46139,3,359320,1,0
394,463,39,1,16,0,47419,1,0,1,1
395,464,34,1,19,2,86072,3,0,1,1
396,465,35,0,27,2,87438,2,0,2,1
397,466,23,0,15,1,64179,2,0,1,1
398,467,32,1,21,1,83926,3,0,1,1
399,469,31,1,4,2,26067,1,0,1,1
400,470,31,1,0,1,39660,2,0,1,1
401,471,38,1,3,1,59318,3,0,1,1
402,472,39,0,15,0,83429,3,450780,2,0
403,473,25,0,7,0,62431,1,0,1,1
404,474,32,1,1,0,45068,1,0,1,1
405,475,43,1,2,0,42714,1,0,1,1
406,476,28,0,7,1,22918,2,0,1,1
407,477,39,1,10,0,29312,1,0,1,1
408,478,31,0,12,0,39164,2,0,1,1
409,479,24,0,12,2,22947,1,0,1,1
410,481,30,1,3,2,68341,1,0,1,1
411,482,45,1,1,0,56611,2,271680,2,1
412,483,42,0,7,0,132558,3,1590000,3,0
413,484,29,0,23,1,26562,1,0,1,1
414,486,40,0,1,1,31674,2,0,2,1
415,487,39,1,3,0,35091,1,0,1,1
416,488,45,1,20,2,80716,2,0,1,1
417,489,32,0,3,2,49475,1,237500,2,1
418,491,26,1,11,2,41638,1,0,1,1
419,492,36,0,10,1,23107,2,0,1,1
420,493,28,1,28,0,52307,2,0,2,0
421,494,36,0,7,0,110964,3,0,1,0
422,496,24,1,6,0,20170,1,0,1,1
423,497,30,0,7,0,65035,2,0,1,1
424,498,31,1,12,2,65571,2,0,1,0
425,499,43,1,22,2,47668,3,0,1,0
426,500,40,1,3,0,103119,4,0,1,1
427,501,32,0,7,1,96956,3,300000,2,0
428,502,23,1,24,0,49888,2,0,1,1
429,503,45,0,13,1,42544,1,0,2,1
430,504,33,0,6,0,49653,2,0,1,1
431,505,25,1,18,1,55804,2,0,1,1
432,507,40,1,25,0,29231,2,150780,2,1
433,508,33,1,13,0,48682,2,0,1,0
434,509,25,1,27,1,92079,3,0,1,0
435,510,28,0,21,1,68751,1,0,1,0
436,511,34,1,13,2,58130,2,0,1,0
437,512,43,0,27,0,40777,1,0,1,1
438,513,35,0,12,2,22793,1,0,1,1
439,515,26,0,21,1,10747,2,0,1,1
440,516,26,0,21,1,41099,1,149970,1,0
441,517,51,0,0,2,59796,1,0,1,1
442,518,45,0,6,2,52199,1,0,1,1
443,519,36,1,21,0,83253,3,0,1,1
444,520,28,0,15,0,98996,4,350000,1,1
445,521,35,1,19,1,27882,1,379560,3,0
446,522,36,1,18,2,109652,3,0,3,1
447,523,39,1,28,1,31056,3,0,1,1
448,524,33,1,8,0,82822,3,950000,2,0
449,525,33,1,14,0,106727,3,0,2,1
450,527,35,1,15,0,86823,4,1000000,1,1
451,528,34,1,1,1,51086,2,0,1,1
452,529,32,0,28,1,12934,2,0,1,1
453,530,37,1,20,2,31137,1,0,1,1
454,531,35,1,27,2,68045,2,386520,2,0
455,532,37,1,18,1,61243,1,600540,3,0
456,533,36,1,0,0,35731,1,0,1,1
457,534,28,1,1,1,87872,3,0,1,0
458,535,39,1,19,0,77182,4,557750,1,1
459,536,28,1,18,2,35112,1,630520,2,1
460,537,35,0,21,0,84554,3,2941090,4,0
461,538,26,0,15,0,29698,1,0,2,0
462,539,36,1,16,1,109296,3,0,1,1
463,540,29,1,5,1,96233,3,0,1,0
464,541,27,1,0,2,71812,2,0,1,1
465,542,44,1,27,0,43720,2,0,1,1
466,543,29,1,3,1,34793,3,0,1,0
467,544,43,1,5,2,50345,2,0,2,1
468,545,29,0,18,0,62542,2,0,1,1
469,546,36,0,5,2,20993,1,195960,1,0
470,547,28,1,10,1,34536,2,990600,2,0
471,548,31,0,12,2,55239,3,0,1,0
472,549,24,0,11,0,20886,1,212640,1,1
473,550,36,1,19,0,55670,1,1783680,3,0
474,551,43,1,4,2,84481,3,0,1,1
475,552,37,1,4,0,65170,3,5487960,4,0
476,553,32,1,3,0,44273,2,0,1,1
477,554,36,1,16,2,19649,1,0,1,1
478,556,36,0,27,2,51658,2,1050000,4,0
479,558,39,0,2,0,55263,2,350000,1,1
480,559,41,1,19,1,44342,1,294140,3,0
481,560,42,1,10,2,152234,4,1053630,1,0
482,561,28,1,25,0,43855,1,0,1,0
483,562,29,0,25,1,52465,2,0,1,1
484,563,35,0,12,1,73359,3,0,1,1
485,564,38,1,0,2,31340,1,0,1,1
486,565,37,1,20,0,56543,3,406420,3,0
487,566,37,1,1,2,50504,1,0,1,1
488,568,33,1,7,0,60655,4,2382130,2,0
489,569,40,0,18,1,111743,3,997300,3,0
490,570,34,0,10,2,37929,1,671210,3,0
491,571,32,0,22,2,95826,3,220000,2,0
492,572,30,0,11,1,31890,2,422800,2,1
493,573,27,1,20,2,54026,2,0,1,1
494,574,40,1,4,1,70144,2,255540,1,1
495,575,27,1,17,2,39391,1,0,1,0
496,576,31,0,14,1,68356,3,0,1,1
497,577,29,0,5,2,108091,3,0,1,1
498,578,35,1,21,0,46169,2,0,1,1
499,579,30,0,24,2,70570,2,0,1,1
500,580,42,0,9,2,56877,2,755970,4,0
501,581,42,1,17,2,52641,1,425410,3,0
502,582,33,0,1,2,47682,2,2150900,4,0
503,583,31,1,2,1,59926,2,0,3,0
504,584,29,0,0,1,51593,3,0,1,1
505,585,41,0,23,1,14989,1,0,1,1
506,587,34,0,12,1,96680,3,2956180,4,0
507,588,28,0,4,1,17660,2,0,1,1
508,591,36,1,26,2,100882,3,1395620,2,0
509,592,42,0,12,0,67624,2,402500,2,0
510,593,39,1,15,1,86336,3,0,1,1
511,594,30,1,10,1,41093,2,150440,1,0
512,595,30,1,18,1,55828,2,1300,2,0
513,596,29,1,3,1,66483,2,0,1,1
514,597,28,0,15,2,85926,3,498620,2,0
515,598,38,0,28,0,78135,2,0,1,1
516,599,27,0,22,0,71458,2,0,1,0
517,600,29,1,11,0,115293,3,0,1,1
518,601,33,0,10,0,39119,2,0,1,1
519,602,28,1,28,1,49553,2,0,1,1
520,603,30,1,6,1,64842,2,0,1,1
521,604,47,0,18,0,65856,2,801410,4,0
522,605,37,1,1,0,95352,3,564870,2,0
523,606,34,0,1,1,114230,3,0,2,1
524,607,27,0,19,0,38764,1,0,2,1
525,608,24,1,18,2,83294,2,0,1,1
526,609,33,0,28,2,46186,1,0,1,1
527,610,30,0,15,2,49664,2,0,1,1
528,611,32,0,1,0,39216,2,0,1,1
529,612,31,1,8,1,29685,1,0,1,0
530,613,30,1,0,1,13653,1,0,1,1
531,614,23,0,1,0,36474,1,0,1,1
532,615,34,1,15,2,54056,2,50000,1,1
533,617,22,0,9,1,21673,1,1628040,4,0
534,618,41,1,25,2,54520,2,0,1,1
535,619,30,0,5,0,32150,3,377880,2,0
536,620,29,0,27,2,79801,3,812040,2,0
537,621,29,0,23,2,101494,3,0,1,1
538,622,42,1,14,1,53454,3,0,1,0
539,623,23,0,21,0,57931,1,0,1,1
540,624,35,1,6,0,104712,3,841310,2,0
541,625,32,1,3,0,49936,1,0,1,1
542,626,35,1,16,1,18788,2,0,1,1
543,627,36,1,8,0,35219,2,0,1,1
544,629,43,0,6,1,38624,2,0,1,1
545,630,35,0,20,1,51781,2,0,1,1
546,633,36,0,22,2,48059,3,0,1,1
547,634,29,1,20,2,54358,1,0,1,1
548,635,31,1,20,0,130429,3,150000,1,1
549,636,44,1,12,1,95388,4,0,1,1
550,638,38,1,7,2,149403,5,2940430,2,0
551,639,27,1,3,2,66599,2,239880,2,0
552,640,27,0,27,0,105931,3,0,1,1
553,642,35,1,2,1,86516,3,240920,1,0
554,643,35,1,18,0,63632,2,150470,1,0
555,644,29,1,25,2,34741,1,1000010,3,0
556,645,28,0,27,2,110445,4,0,1,1
557,646,34,1,2,0,71776,3,301150,1,0
558,647,34,0,1,2,57888,1,0,1,1
559,648,28,0,22,1,18928,1,0,2,0
560,649,33,1,5,0,35584,1,0,1,1
561,650,33,0,7,0,42953,2,0,1,0
562,651,34,0,3,0,41298,3,0,1,1
563,652,34,1,12,0,112322,4,0,1,1
564,653,44,0,0,1,64702,2,0,1,1
565,654,22,1,23,1,36116,2,0,1,1
566,655,35,1,4,1,40926,2,0,1,1
567,658,30,0,25,0,105966,3,410260,2,0
568,659,32,0,4,2,54903,3,0,1,1
569,660,24,0,26,1,15327,1,0,1,1
570,662,37,1,21,0,76548,2,659150,3,0
571,663,27,1,13,0,97203,3,0,1,1
572,664,33,1,10,2,40041,1,186080,2,0
573,667,31,1,27,2,78143,2,0,1,1
574,668,29,0,22,0,45969,2,-14600,2,1
575,671,33,1,2,2,42368,3,0,1,1
576,672,30,1,9,2,77011,2,360000,1,1
577,673,36,0,3,0,36967,2,0,1,0
578,674,34,0,5,0,38546,1,0,1,1
579,677,48,0,21,0,71072,3,0,1,1
580,678,35,1,5,2,31411,1,1003620,3,0
581,680,37,0,22,2,127380,4,331570,1,1
582,681,29,1,15,1,51840,2,0,3,0
583,682,30,1,5,0,40008,1,960050,3,0
584,683,41,0,8,2,55762,1,0,1,1
585,684,23,0,12,1,30083,1,0,1,1
586,686,28,0,0,2,62909,2,0,1,1
587,687,32,1,9,1,13037,1,0,1,1
588,688,46,0,5,0,22931,2,194000,1,1
589,689,28,0,1,0,17186,1,0,1,1
590,690,45,0,5,1,49509,2,120150,1,1
591,691,30,0,26,1,59241,2,0,1,1
592,692,32,1,15,0,31831,1,0,1,1
